StudyHours,Attendance,AssignmentCompletion,MidtermScore,FinalScore,Extracurricular,Internet,Gender,Age,StressLevel,IncomeLevel,ParentEducation,Participation,SleepHours,Department,Quizzes_Avg,Projects_Score,Total_Score,FinalGrade,at_risk,source
10.9,84.53,55.59,51.11,40.36,1,1,1,20,1,0,0,9.94,5.7,,68.89,76.05,60.24,3,0,dataset1
23.5,52.3,57.63,49.8,64.18,0,1,0,18,0,2,0,4.13,5.6,0.0,65.79,81.9,90.24,1,0,dataset1
14.4,66.94,62.34,87.34,42.52,0,1,0,18,2,0,4,1.99,6.2,2.0,95.87,63.91,91.59,3,0,dataset1
12.1,70.59,58.41,40.36,80.41,1,1,0,18,0,1,4,9.44,7.3,0.0,91.33,90.71,99.44,0,1,dataset1
11.2,54.84,83.7,47.63,98.14,1,1,1,21,0,0,2,3.86,4.0,0.0,78.97,81.21,72.2,0,1,dataset1
7.0,61.8,71.04,72.28,79.32,0,1,1,23,0,2,3,6.91,6.7,1.0,95.61,93.12,68.53,3,0,dataset1
28.3,52.58,76.89,54.85,53.46,0,1,1,22,2,1,0,7.88,4.1,,94.32,58.0,85.1,0,1,dataset1
19.1,99.81,52.37,45.54,61.31,0,1,0,22,0,0,2,8.43,6.3,1.0,96.38,69.03,52.91,2,0,dataset1
28.9,75.725,93.06,61.59,98.6,0,1,1,21,2,1,4,8.21,4.4,,61.09,55.65,51.99,0,1,dataset1
26.5,54.37,58.53,56.45,53.44,0,1,0,19,1,0,3,8.36,6.8,,85.88,60.78,66.75,0,1,dataset1
5.8,51.01,68.01,70.67,73.69,0,1,1,21,0,0,3,6.68,5.6,0.0,80.46,69.73,86.48,0,1,dataset1
11.2,85.96,53.6,98.75,64.03,0,1,1,23,2,1,4,4.04,6.4,,86.69,94.73,55.82,3,0,dataset1
12.9,71.96,56.84,47.46,86.1,0,1,1,18,2,0,2,6.67,8.8,,63.17,77.85,81.78,0,1,dataset1
17.2,89.34,83.29,62.36,92.04,0,1,0,21,1,0,4,8.37,5.7,,84.74,66.52,63.48,3,0,dataset1
22.9,96.17,84.63,95.92,60.45,1,1,0,18,0,1,3,3.51,7.6,2.0,70.49,87.34,82.58,3,0,dataset1
22.0,79.97,83.85,92.61,79.62,0,1,1,23,2,0,2,2.97,7.4,2.0,91.7,50.98,72.85,3,0,dataset1
29.7,59.36,77.61,63.66,72.94,0,1,0,24,2,0,4,3.44,8.3,0.0,89.77,68.5,55.76,1,0,dataset1
28.1,89.11,97.63,81.94,56.71,0,1,0,23,1,1,2,5.51,5.7,0.0,60.57,80.04,62.36,3,0,dataset1
9.7,97.79,75.36,45.27,56.32,0,1,0,20,0,0,2,0.52,4.3,2.0,59.19,79.16,60.99,3,0,dataset1
26.5,79.01,72.47,82.75,72.32,1,1,0,18,1,2,2,7.79,8.9,,85.89,80.38,58.23,3,0,dataset1
26.1,84.1,62.38,98.37,49.24,1,1,0,22,2,1,3,1.39,5.8,1.0,77.52,60.58,73.42,0,1,dataset1
19.4,66.87,54.94,72.25,88.65,0,1,0,21,1,0,4,1.33,5.0,,77.86,66.85,97.73,1,0,dataset1
13.5,75.725,77.41,69.91,44.14,0,1,0,24,1,0,3,1.98,8.6,,87.63,96.58,82.9,1,0,dataset1
10.2,86.73,65.74,51.24,45.67,0,1,1,23,1,2,3,5.77,5.0,,92.75,98.7,91.8,3,0,dataset1
10.3,96.39,76.2,78.03,60.53,0,1,0,18,2,1,3,2.86,6.6,2.0,61.95,65.6,99.05,2,0,dataset1
13.4,81.45,60.31,75.43,47.09,0,1,0,24,0,0,3,3.68,7.8,,77.78,82.23,77.03,2,0,dataset1
17.6,89.49,91.91,79.12,68.54,0,1,1,19,2,0,4,9.32,7.7,,91.45,62.06,61.9,3,0,dataset1
19.6,58.58,99.98,41.56,63.98,1,1,1,20,2,1,4,8.47,4.1,,93.64,68.43,96.39,0,1,dataset1
13.1,60.6,66.12,72.92,83.31,0,1,1,19,0,0,4,8.52,5.0,,64.37,89.62,84.95,2,0,dataset1
13.9,76.6,92.12,75.7,97.18,0,1,1,23,1,1,0,5.78,8.4,2.0,55.21,75.06,97.95,1,0,dataset1
5.3,75.725,93.65,52.45,85.21,0,1,0,19,2,1,0,8.66,6.8,0.0,61.64,92.48,82.55,2,0,dataset1
5.1,81.75,74.81,52.5,50.77,0,1,1,19,0,1,4,7.79,7.4,0.0,97.27,81.44,88.76,3,0,dataset1
27.7,64.58,67.14,56.57,96.13,0,1,1,20,1,0,2,9.53,6.0,,73.12,81.45,94.53,0,1,dataset1
5.4,89.58,87.8,82.7,63.53,1,1,0,20,2,0,4,0.64,7.7,,70.93,51.69,87.96,3,0,dataset1
5.8,90.41,61.44,76.38,68.45,1,1,0,20,0,2,4,0.29,5.4,1.0,50.65,87.48,78.13,2,0,dataset1
10.1,73.19,81.24,90.75,65.29,0,0,0,24,2,1,3,1.75,5.2,,52.55,98.89,73.6,0,1,dataset1
23.6,59.04,85.24,57.74,56.83,0,1,1,20,2,0,4,9.29,9.0,0.0,83.43,73.65,91.17,0,1,dataset1
22.0,82.34,74.81,94.72,93.7,0,1,0,19,0,0,4,6.06,4.8,,79.49,57.93,88.6,2,0,dataset1
21.2,99.64,60.36,84.62,59.93,1,1,1,22,1,1,4,4.26,8.9,1.0,78.78,98.85,68.32,3,0,dataset1
19.4,81.13,92.44,63.7,74.72,0,1,0,22,1,1,2,5.13,8.6,,55.52,64.51,74.92,0,1,dataset1
10.0,51.79,71.05,45.72,54.4,0,1,0,20,2,0,3,8.3,7.6,2.0,67.6,70.46,81.75,1,0,dataset1
14.9,50.86,60.82,55.42,87.84,0,0,1,24,2,2,3,9.29,6.9,0.0,90.62,53.87,51.42,0,1,dataset1
17.0,66.02,77.13,97.41,86.45,0,1,0,21,2,0,2,7.3,4.0,2.0,58.75,55.54,62.38,3,0,dataset1
19.6,59.79,93.17,58.62,57.78,0,1,0,18,2,0,4,7.6,7.2,,94.13,60.83,62.51,0,1,dataset1
10.0,90.65,98.35,59.79,80.89,0,1,0,23,1,0,4,3.2,7.9,2.0,56.07,77.42,94.16,3,0,dataset1
23.2,92.24,87.41,51.38,82.23,0,1,0,24,1,2,4,4.67,7.7,0.0,58.46,77.89,66.57,3,0,dataset1
12.7,62.93,50.28,88.41,73.75,0,1,0,21,0,2,0,8.85,4.9,,73.89,80.31,77.26,2,0,dataset1
21.5,66.28,56.74,56.54,76.04,0,1,1,23,1,0,0,7.86,6.7,,97.26,79.19,91.58,1,0,dataset1
17.8,61.81,53.81,59.82,74.47,1,0,1,21,0,0,4,6.84,6.8,2.0,66.48,74.76,62.98,2,0,dataset1
19.8,95.42,55.06,64.86,44.91,1,1,0,21,1,2,2,0.65,7.3,,82.91,90.1,56.19,3,0,dataset1
15.3,75.13,69.15,66.02,80.22,0,1,1,22,2,0,4,0.4,8.2,2.0,79.43,96.69,97.42,3,0,dataset1
16.1,82.81,66.92,64.68,68.19,0,1,1,18,0,0,0,1.3,7.5,,57.48,63.49,85.23,0,1,dataset1
26.7,70.77,74.81,70.22,66.31,0,1,1,21,0,2,4,5.81,4.7,2.0,62.41,56.51,58.85,3,0,dataset1
16.9,81.55,94.11,88.87,91.6,1,1,0,20,0,2,2,5.36,4.1,,96.51,71.25,90.99,0,1,dataset1
24.8,69.29,80.77,89.16,41.39,0,1,0,23,2,1,3,9.43,4.7,2.0,59.24,51.32,89.36,3,0,dataset1
14.9,66.98,74.81,87.9,55.08,0,1,0,24,0,0,2,6.95,4.2,,84.75,94.17,91.88,3,0,dataset1
22.5,81.72,74.81,46.07,47.28,1,1,1,22,1,2,4,2.94,6.2,,98.23,61.99,63.81,3,0,dataset1
10.8,75.725,70.51,87.98,42.12,0,1,1,23,0,0,3,1.61,5.4,,55.98,77.46,72.43,0,1,dataset1
27.9,75.725,65.88,47.22,56.54,0,1,0,20,2,0,4,8.5,4.0,1.0,69.96,55.75,84.68,3,0,dataset1
29.2,57.47,71.92,47.48,99.31,0,1,0,20,2,1,3,4.6,4.4,,61.2,77.66,69.53,0,1,dataset1
27.5,68.43,80.52,96.87,56.21,1,1,1,21,2,2,4,6.53,6.0,0.0,61.08,51.95,53.5,0,1,dataset1
13.7,70.76,74.65,89.16,79.82,0,1,1,20,2,0,4,5.65,8.7,,55.95,88.44,56.82,1,0,dataset1
11.9,81.43,91.9,73.14,47.1,0,1,0,18,1,1,3,1.07,9.0,,82.48,97.77,79.86,1,0,dataset1
9.6,95.73,95.01,92.5,76.11,1,1,1,20,2,1,4,0.57,4.3,2.0,87.32,65.35,68.76,2,0,dataset1
26.8,75.725,73.48,99.36,99.07,0,1,1,21,0,2,4,3.77,8.2,2.0,83.84,62.91,50.27,1,0,dataset1
8.0,75.725,61.99,76.64,57.51,0,1,1,23,2,1,2,3.62,6.4,1.0,96.23,72.4,88.34,0,1,dataset1
21.1,59.69,97.26,76.77,90.88,0,1,1,20,2,1,4,6.74,7.1,1.0,57.28,81.0,70.84,1,0,dataset1
13.3,75.11,86.75,85.27,99.85,0,1,1,22,1,1,2,6.32,6.5,0.0,65.99,59.45,65.69,2,0,dataset1
9.7,71.49,82.01,53.93,75.31,0,1,1,24,0,1,4,9.69,8.6,2.0,67.23,90.17,85.68,0,1,dataset1
9.6,86.45,87.27,50.03,58.56,0,1,1,22,2,0,0,8.58,6.4,2.0,61.6,59.93,72.76,3,0,dataset1
26.8,75.725,74.81,85.57,80.41,0,1,0,22,1,2,0,4.97,4.8,,57.11,50.27,84.74,0,1,dataset1
26.5,79.72,53.38,60.69,90.69,1,1,0,23,2,1,0,5.0,7.9,1.0,74.34,76.21,50.66,0,1,dataset1
11.8,94.19,57.66,48.1,50.28,0,1,1,19,0,1,0,6.74,6.6,2.0,91.72,55.76,50.47,3,0,dataset1
5.8,95.53,57.37,58.89,67.15,1,1,1,24,1,1,4,1.14,4.6,2.0,97.73,84.91,78.0,3,0,dataset1
26.7,97.94,71.03,61.52,59.15,0,1,1,22,0,0,4,10.0,6.3,,56.47,58.37,99.11,2,0,dataset1
6.4,88.66,57.87,97.91,57.0,0,1,0,22,2,1,3,5.19,7.4,,91.16,90.87,63.62,2,0,dataset1
7.1,95.3,92.73,81.88,91.65,0,0,0,19,0,1,3,9.1,5.5,1.0,91.23,73.52,84.14,3,0,dataset1
25.5,61.73,78.9,71.85,65.3,0,1,1,23,2,0,3,9.67,8.6,,69.45,78.31,58.61,0,1,dataset1
25.4,59.88,68.41,98.13,60.34,0,1,0,24,1,0,0,5.82,8.2,2.0,55.5,59.33,65.58,0,1,dataset1
10.1,50.32,53.48,94.19,76.21,0,1,1,22,0,1,4,1.03,6.8,,99.5,57.33,53.9,0,1,dataset1
6.0,85.34,79.55,70.72,53.16,0,1,1,21,0,1,4,5.73,4.3,0.0,82.78,81.56,94.04,3,0,dataset1
6.6,96.87,55.83,94.34,53.79,0,1,1,23,2,2,4,5.98,6.9,,99.11,62.77,65.52,3,0,dataset1
16.3,59.35,87.16,64.26,71.22,1,1,1,24,2,1,2,7.89,6.1,0.0,74.18,69.3,61.52,0,1,dataset1
15.5,81.85,90.14,53.83,64.56,0,1,1,22,0,0,0,0.48,7.6,,69.76,73.97,86.53,0,1,dataset1
9.6,87.32,77.2,53.96,57.7,0,1,1,22,2,0,4,4.66,5.3,0.0,62.36,61.48,59.97,3,0,dataset1
27.7,96.38,57.48,79.74,43.24,1,1,1,19,2,1,4,9.23,7.0,0.0,99.18,89.77,62.01,2,0,dataset1
18.8,82.34,89.34,70.06,71.25,1,1,0,24,1,2,4,9.91,6.8,,62.66,96.97,55.18,0,1,dataset1
25.2,98.51,65.39,79.54,89.0,0,1,1,21,2,0,4,1.91,6.6,2.0,51.19,71.59,98.14,2,0,dataset1
7.6,67.23,61.13,81.16,91.08,0,1,0,23,0,1,2,8.71,4.6,,75.62,95.88,62.38,2,0,dataset1
29.3,67.5,73.53,41.34,54.13,1,1,1,20,0,0,0,1.46,6.4,,68.85,94.13,99.78,1,0,dataset1
25.2,77.15,96.13,43.24,75.98,0,1,1,18,0,0,4,8.41,6.8,0.0,63.07,58.3,58.81,1,0,dataset1
12.2,69.18,64.87,71.96,91.35,0,1,0,21,0,1,4,2.77,8.6,2.0,81.73,58.67,51.03,2,0,dataset1
5.5,50.07,95.28,51.46,64.52,1,1,0,20,2,1,3,9.6,6.3,,68.21,73.87,94.78,0,1,dataset1
9.1,75.725,52.68,77.95,95.93,0,1,1,21,2,0,0,6.95,7.2,,70.11,76.29,79.0,2,0,dataset1
15.5,87.59,54.18,73.13,94.18,0,1,0,24,0,2,0,3.99,6.8,,51.15,67.06,67.57,2,0,dataset1
5.1,87.35,84.93,75.15,52.49,0,1,1,20,1,1,4,2.81,5.0,0.0,79.45,65.65,75.67,3,0,dataset1
6.0,67.25,59.53,58.15,55.54,1,1,1,24,2,1,4,2.35,4.9,,56.1,71.57,63.04,2,0,dataset1
7.5,76.11,65.83,78.39,50.83,1,1,0,20,2,1,4,6.81,7.7,1.0,60.69,84.52,81.74,1,0,dataset1
25.2,68.0,56.82,89.77,51.76,0,1,0,21,2,0,4,8.96,6.6,1.0,85.86,54.22,80.82,2,0,dataset1
18.7,50.8,66.61,99.88,94.47,1,1,0,19,0,2,4,7.55,8.5,,65.66,85.53,54.01,0,1,dataset1
9.8,78.12,64.02,90.31,95.87,1,1,0,21,1,1,4,8.35,8.5,,58.16,96.31,95.53,0,1,dataset1
11.6,56.19,86.82,73.45,43.11,0,1,1,24,1,2,2,7.81,5.5,0.0,78.87,88.18,73.03,1,0,dataset1
21.1,54.0,85.1,51.61,75.62,1,1,0,21,2,0,4,9.79,4.5,,60.75,59.58,59.76,0,1,dataset1
13.0,87.77,97.75,80.89,73.85,0,1,0,20,0,2,2,7.58,5.7,,63.55,54.37,65.37,3,0,dataset1
22.1,50.48,86.22,96.26,63.43,0,1,0,18,0,0,4,2.1,4.3,,81.07,74.52,93.31,0,1,dataset1
24.5,97.95,84.74,52.71,77.9,1,0,0,20,1,0,3,7.92,7.9,2.0,86.99,97.82,69.16,3,0,dataset1
12.7,75.76,84.71,55.36,96.84,1,1,0,22,1,0,0,3.22,4.7,0.0,86.98,90.95,78.1,3,0,dataset1
14.2,99.15,94.15,48.94,50.22,0,1,1,21,1,2,4,9.96,8.3,,74.11,78.14,97.38,3,0,dataset1
6.3,52.9,64.81,84.2,47.22,0,1,1,23,1,0,4,3.77,6.1,,72.71,57.15,82.59,0,1,dataset1
25.5,79.18,74.81,64.39,42.0,0,1,0,21,2,1,3,2.93,5.4,1.0,89.38,85.69,83.79,0,1,dataset1
20.2,67.47,87.06,43.76,61.83,0,1,0,19,0,0,4,2.39,6.5,0.0,59.65,90.65,62.43,3,0,dataset1
27.2,92.17,61.44,92.5,60.26,0,1,1,24,1,0,3,6.59,7.0,2.0,57.61,96.75,83.41,3,0,dataset1
9.7,75.725,95.6,73.46,65.85,1,1,0,23,2,1,4,1.09,7.5,0.0,83.23,80.61,69.69,0,1,dataset1
29.0,63.02,76.74,59.87,70.2,0,1,1,20,2,2,4,9.54,5.7,2.0,70.48,75.72,95.55,1,0,dataset1
22.7,92.88,74.81,60.64,85.47,0,1,1,19,0,0,4,2.94,8.9,0.0,85.5,80.96,56.48,3,0,dataset1
9.9,68.73,88.8,57.42,63.53,1,1,0,21,1,1,4,2.95,6.1,,62.83,97.16,64.28,0,1,dataset1
16.6,50.84,65.62,67.33,59.84,0,1,1,20,1,1,2,0.46,8.2,,66.24,81.41,53.3,0,1,dataset1
22.5,69.51,98.16,60.22,89.61,0,1,0,20,1,0,4,2.46,4.2,0.0,94.83,62.88,69.05,2,0,dataset1
5.4,82.73,74.81,72.88,90.99,0,1,0,22,1,2,4,4.19,7.9,2.0,71.08,81.81,57.42,3,0,dataset1
24.5,62.72,83.34,86.41,53.97,1,1,1,22,2,1,4,3.7,6.8,1.0,79.55,93.99,92.26,2,0,dataset1
28.7,71.6,55.68,80.47,58.88,0,1,1,18,2,2,2,2.73,7.2,,55.33,78.35,96.25,0,1,dataset1
7.0,52.84,63.16,57.67,89.51,0,1,0,22,1,0,4,0.41,5.9,1.0,58.94,75.13,83.47,0,1,dataset1
27.5,79.4,75.77,71.72,44.76,0,1,1,24,2,0,2,3.01,6.7,1.0,51.79,86.67,55.17,0,1,dataset1
16.6,87.81,92.57,90.41,59.55,0,1,0,23,0,1,2,7.78,8.7,,71.22,83.05,67.08,3,0,dataset1
17.9,70.67,59.24,44.09,66.9,0,1,1,20,0,2,4,4.39,5.9,0.0,99.45,52.83,98.22,0,1,dataset1
26.0,71.01,55.22,44.7,51.22,0,1,1,22,0,0,4,2.91,4.5,2.0,93.69,86.27,56.82,1,0,dataset1
19.7,54.41,53.72,73.37,50.79,0,1,0,18,0,0,0,3.05,7.6,1.0,81.65,70.38,77.82,1,0,dataset1
13.8,60.1,75.35,78.35,65.49,0,1,0,21,0,1,4,5.54,6.5,2.0,93.05,97.04,67.65,3,0,dataset1
23.3,57.73,94.24,52.68,85.27,0,1,0,23,1,0,4,3.02,6.1,0.0,79.71,98.54,99.96,1,0,dataset1
8.5,74.08,52.12,84.71,90.41,1,1,1,22,2,1,4,6.31,7.9,2.0,68.44,72.44,64.27,0,1,dataset1
21.7,76.46,60.62,78.78,98.75,0,1,0,20,1,0,4,9.89,6.8,,58.68,98.44,52.39,3,0,dataset1
24.4,75.725,84.66,95.4,44.44,0,1,0,21,2,1,4,0.41,7.2,,82.65,65.54,85.11,0,1,dataset1
13.4,53.66,91.29,50.14,53.0,0,1,1,24,2,2,0,1.69,8.6,2.0,59.65,84.13,66.34,0,1,dataset1
29.3,79.99,90.37,85.08,85.4,0,1,1,20,0,0,2,1.79,4.3,0.0,70.87,53.75,82.88,2,0,dataset1
21.0,76.32,89.25,45.02,72.44,1,1,0,21,2,2,0,4.47,5.3,2.0,91.29,57.25,55.23,0,1,dataset1
7.4,75.81,56.49,73.92,59.66,1,1,0,24,2,0,2,0.41,8.5,2.0,56.46,93.23,76.15,0,1,dataset1
29.2,93.66,69.86,73.11,52.34,0,1,0,24,0,1,0,4.78,8.0,,56.45,94.69,68.76,3,0,dataset1
23.6,60.28,99.24,63.3,56.83,0,1,0,23,1,0,4,9.29,4.9,2.0,61.22,76.63,76.84,1,0,dataset1
22.4,52.04,99.44,90.67,65.76,1,1,1,20,0,0,4,0.12,4.8,,77.6,66.99,92.67,0,1,dataset1
11.3,83.61,74.81,40.26,50.63,0,1,1,22,2,1,2,3.65,8.1,0.0,62.59,72.55,98.64,3,0,dataset1
16.8,75.725,85.46,71.21,97.85,0,1,0,22,1,1,2,7.61,6.8,1.0,75.16,93.48,87.66,0,1,dataset1
27.5,50.88,97.56,53.03,46.46,0,1,0,18,0,1,2,1.54,8.3,2.0,65.1,60.55,88.34,0,1,dataset1
12.7,62.57,72.5,84.61,99.13,0,1,0,21,0,0,3,0.78,8.6,,75.31,64.74,76.45,1,0,dataset1
15.6,65.47,56.84,42.58,90.51,1,1,1,18,2,1,4,6.31,4.3,,63.88,89.27,54.87,3,0,dataset1
11.4,80.84,83.45,89.89,65.39,1,1,0,19,1,0,3,0.1,8.8,2.0,99.0,96.76,83.35,3,0,dataset1
10.4,58.63,98.01,90.29,84.39,0,1,0,22,1,0,4,8.02,7.6,2.0,74.64,54.65,57.39,0,1,dataset1
6.1,70.65,84.86,89.97,80.29,0,1,1,21,2,1,4,0.67,8.2,0.0,87.18,90.19,62.28,0,1,dataset1
23.4,74.12,90.17,49.15,52.8,0,1,1,23,2,2,4,5.24,7.2,,85.03,82.25,85.38,1,0,dataset1
7.3,72.96,74.81,77.82,60.34,0,1,0,18,0,1,2,7.4,5.5,0.0,74.53,61.54,82.85,0,1,dataset1
18.3,98.7,54.82,40.86,70.79,0,1,0,23,1,0,4,2.42,7.0,2.0,61.94,87.79,65.72,2,0,dataset1
6.2,75.725,58.44,90.88,78.27,1,1,1,23,1,2,2,1.04,6.6,,75.54,86.4,88.6,1,0,dataset1
29.6,97.55,99.13,83.38,72.57,1,1,0,23,2,0,3,1.76,8.7,2.0,84.05,57.1,96.97,3,0,dataset1
22.7,79.1,74.66,71.87,68.38,1,1,0,18,2,1,4,8.55,6.8,,73.0,75.11,77.26,0,1,dataset1
20.8,89.79,50.6,83.84,66.59,0,1,1,19,2,0,4,7.06,4.1,2.0,54.1,87.91,83.88,3,0,dataset1
9.7,71.52,97.77,45.66,69.9,0,0,1,24,1,1,3,1.98,7.4,0.0,50.9,59.58,63.59,2,0,dataset1
18.2,72.69,74.89,71.72,66.06,0,1,1,24,1,0,4,7.16,4.3,2.0,66.39,73.14,98.54,0,1,dataset1
17.6,93.97,91.81,57.48,72.48,1,1,0,18,0,1,4,7.09,8.7,0.0,57.51,56.04,63.69,3,0,dataset1
14.0,94.8,77.42,98.36,93.28,0,0,1,24,1,1,4,9.98,6.4,2.0,95.31,65.34,94.37,3,0,dataset1
8.9,61.93,55.09,91.43,77.97,1,0,1,20,2,2,4,3.92,8.8,,58.79,60.9,96.39,3,0,dataset1
14.2,59.96,80.78,84.0,83.36,0,1,0,24,0,0,2,8.65,4.1,2.0,69.71,75.25,85.98,1,0,dataset1
20.2,74.81,74.81,96.02,75.85,0,1,0,22,0,0,3,4.46,6.7,2.0,85.6,57.06,90.58,0,1,dataset1
17.2,95.01,51.74,60.81,78.58,1,0,1,18,0,0,4,8.98,5.1,,90.77,69.16,72.89,3,0,dataset1
19.3,66.12,92.09,94.05,74.7,0,1,1,24,2,2,4,0.92,7.2,,73.89,63.76,95.98,3,0,dataset1
19.3,82.6,61.77,59.51,41.61,0,0,0,18,1,2,4,1.75,6.5,2.0,59.06,87.3,87.13,0,1,dataset1
11.1,85.41,69.69,83.97,99.98,0,0,0,19,0,0,3,8.5,6.8,,63.54,84.98,66.34,3,0,dataset1
7.8,88.93,68.64,84.19,42.02,1,0,1,20,1,0,0,8.19,5.8,,70.95,54.75,51.75,3,0,dataset1
18.0,78.2,74.81,41.1,63.71,1,0,1,18,2,1,3,3.05,4.3,2.0,68.23,97.67,77.04,0,1,dataset1
27.3,70.12,75.22,61.66,46.31,0,1,0,22,0,1,4,5.97,4.5,,67.43,87.23,92.03,0,1,dataset1
29.9,98.35,72.36,41.17,45.82,1,1,1,24,2,0,4,3.83,8.3,1.0,56.59,80.8,93.03,2,0,dataset1
24.6,80.57,74.81,99.83,87.61,0,1,0,22,1,1,4,0.1,7.5,,95.67,73.89,91.76,0,1,dataset1
10.5,86.43,52.45,47.33,65.56,0,1,1,24,0,0,3,0.26,7.8,0.0,51.49,58.9,60.74,3,0,dataset1
20.8,67.25,54.32,72.57,88.07,0,1,0,18,2,0,4,0.54,4.6,2.0,72.0,98.1,71.31,1,0,dataset1
11.0,83.5,51.08,87.43,56.37,0,1,0,23,1,1,4,5.94,4.2,0.0,99.02,50.39,80.69,1,0,dataset1
19.4,62.89,84.4,52.08,55.39,0,1,1,24,2,2,3,2.79,4.1,,82.99,84.62,83.38,0,1,dataset1
17.0,62.25,76.28,69.1,55.07,0,1,1,23,2,2,0,1.44,6.6,1.0,67.77,75.37,66.73,0,1,dataset1
14.5,85.74,93.8,76.45,76.97,1,1,0,20,1,1,2,9.41,6.5,2.0,57.3,95.13,84.63,3,0,dataset1
21.0,76.07,74.93,49.61,88.9,1,1,1,22,0,2,4,1.21,4.6,0.0,98.19,69.03,79.54,1,0,dataset1
26.4,84.16,61.09,86.71,67.14,0,1,1,23,2,0,4,6.74,5.7,,50.7,75.93,78.34,1,0,dataset1
13.4,63.47,90.26,57.96,62.75,0,1,1,22,1,0,3,8.94,6.7,,84.07,87.12,83.15,2,0,dataset1
17.2,79.94,64.72,52.66,98.41,0,1,0,24,2,0,2,1.64,7.4,2.0,94.01,52.38,80.17,3,0,dataset1
16.4,72.2,96.78,73.5,47.01,0,1,1,24,2,0,2,2.15,8.0,,51.26,52.72,58.34,1,0,dataset1
11.2,79.85,62.52,64.62,69.2,0,1,1,20,1,1,4,5.74,7.2,2.0,86.26,60.58,93.72,1,0,dataset1
15.5,64.54,58.39,95.22,64.51,0,1,0,24,2,0,3,5.08,4.2,,99.94,57.32,62.03,0,1,dataset1
5.5,85.77,74.67,92.8,45.89,0,1,1,20,1,1,4,5.21,6.9,2.0,81.98,50.32,87.22,2,0,dataset1
17.9,90.3,52.53,69.0,56.09,0,1,1,23,2,1,4,5.55,4.4,1.0,70.73,81.15,58.82,2,0,dataset1
